Timestamp,What's your level of interest for the following areas of Data Science? [Data Visualization],What's your level of interest for the following areas of Data Science? [Machine Learning],What's your level of interest for the following areas of Data Science? [Data Analysis / Statistics],What's your level of interest for the following areas of Data Science? [Big Data (Spark / Hadoop)],What's your level of interest for the following areas of Data Science? [Data Journalism],What's your level of interest for the following areas of Data Science? [Deep Learning]
2017/10/19 9:58:54 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 10:02:04 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 10:03:16 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/19 10:03:53 AM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 10:04:46 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/19 10:11:05 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Somewhat interested
2017/10/19 10:11:12 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 10:16:26 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 10:17:51 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 10:18:32 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 10:22:38 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 10:27:07 AM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested
2017/10/19 10:27:12 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 10:27:35 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,,Very interested
2017/10/19 10:32:36 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 10:36:10 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 10:37:23 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Very interested,Very interested
2017/10/19 10:46:29 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 10:52:25 AM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 10:53:25 AM MDT,Very interested,,Very interested,Very interested,,Very interested
2017/10/19 10:58:06 AM MDT,,Somewhat interested,Somewhat interested,Very interested,Not interested,Not interested
2017/10/19 10:59:19 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 11:04:46 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Not interested,Not interested
2017/10/19 11:13:15 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 11:13:26 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 11:13:49 AM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 11:15:51 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 11:19:14 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 11:21:35 AM MDT,,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 11:21:53 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 11:23:53 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 11:24:13 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 11:27:37 AM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 11:32:28 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 11:33:56 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 11:35:14 AM MDT,Not interested,Somewhat interested,Not interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 11:35:28 AM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested
2017/10/19 11:37:07 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 11:37:20 AM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 11:37:30 AM MDT,Not interested,Very interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/19 11:42:12 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested
2017/10/19 11:45:31 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 11:52:07 AM MDT,Very interested,Very interested,,Very interested,,
2017/10/19 11:56:30 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 11:58:49 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:00:14 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:04:32 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 12:05:04 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 12:15:25 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 12:23:02 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:26:35 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 12:27:51 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 12:31:21 PM MDT,Somewhat interested,,,,,
2017/10/19 12:36:30 PM MDT,Very interested,Not interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/19 12:41:05 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 12:41:09 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 12:43:43 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/19 12:47:32 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,
2017/10/19 12:51:17 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 12:55:28 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested
2017/10/19 12:56:56 PM MDT,,Very interested,Very interested,Very interested,,Very interested
2017/10/19 1:02:31 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 1:05:01 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,,
2017/10/19 1:06:31 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested
2017/10/19 1:09:27 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:09:40 PM MDT,Very interested,,Very interested,Very interested,Very interested,Very interested
2017/10/19 1:15:50 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 1:20:01 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:21:43 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:22:33 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/19 1:23:21 PM MDT,Not interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:23:23 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 1:31:22 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 1:33:29 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 1:41:54 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Not interested
2017/10/19 1:42:21 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:46:45 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 1:48:12 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 1:49:02 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:51:45 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:55:05 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:57:21 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 2:05:50 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 2:07:59 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 2:08:00 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 2:13:50 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 2:16:46 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 2:33:11 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 2:36:11 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 2:39:01 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 2:39:39 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 2:49:37 PM MDT,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested,Very interested
2017/10/19 3:03:25 PM MDT,Somewhat interested,Very interested,Not interested,Somewhat interested,Not interested,Very interested
2017/10/19 3:04:37 PM MDT,Not interested,Somewhat interested,Somewhat interested,Very interested,Not interested,Not interested
2017/10/19 3:10:07 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 3:12:59 PM MDT,Somewhat interested,Not interested,Somewhat interested,Not interested,Not interested,Not interested
2017/10/19 3:16:08 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 3:17:48 PM MDT,Very interested,Somewhat interested,Very interested,Not interested,Somewhat interested,Not interested
2017/10/19 3:25:30 PM MDT,Very interested,Not interested,Somewhat interested,Very interested,Not interested,Not interested
2017/10/19 3:26:26 PM MDT,Very interested,Somewhat interested,Very interested,Not interested,Very interested,Somewhat interested
2017/10/19 3:26:39 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 3:27:38 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 3:43:48 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested
2017/10/19 3:44:14 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Not interested
2017/10/19 3:48:09 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 3:48:36 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 3:58:08 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 3:59:25 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 4:03:42 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 4:08:38 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 4:16:44 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 4:18:07 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/19 4:20:31 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 4:21:57 PM MDT,Very interested,Very interested,Very interested,Very interested,,
2017/10/19 4:37:34 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 4:49:01 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 5:05:15 PM MDT,Very interested,Very interested,Not interested,Somewhat interested,Very interested,Very interested
2017/10/19 5:20:35 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 5:28:07 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 5:32:42 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 5:41:12 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Not interested,Not interested
2017/10/19 5:45:28 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 5:50:33 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,,Very interested
2017/10/19 5:56:09 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 6:02:37 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 6:33:33 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 6:35:54 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 6:38:15 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 7:02:46 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 7:03:48 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 7:09:52 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/19 7:15:50 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 7:17:33 PM MDT,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 7:18:04 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 7:26:56 PM MDT,Very interested,,Very interested,Somewhat interested,,Very interested
2017/10/19 7:33:53 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 7:40:05 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 7:41:45 PM MDT,Not interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 7:45:23 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested
2017/10/19 7:45:33 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 7:50:19 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 7:52:34 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 8:11:18 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 8:32:08 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 8:46:08 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 8:51:38 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/19 9:01:35 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 9:11:18 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 9:14:24 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 9:27:03 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 9:29:47 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 9:31:25 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 9:43:21 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 9:43:25 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 9:44:48 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 9:56:59 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 10:04:45 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 10:05:48 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 10:27:29 PM MDT,Very interested,Very interested,Somewhat interested,Not interested,Not interested,Very interested
2017/10/19 10:27:34 PM MDT,Very interested,,Very interested,Very interested,,Very interested
2017/10/19 10:28:33 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,,
2017/10/19 10:29:21 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 10:29:58 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 10:30:57 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 10:41:58 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 10:47:11 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 10:49:26 PM MDT,,Very interested,,Very interested,,
2017/10/19 10:51:14 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 11:13:16 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 11:14:49 PM MDT,Not interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 11:15:46 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 11:19:43 PM MDT,Very interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 11:24:05 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 11:25:22 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 11:31:58 PM MDT,Not interested,Very interested,Not interested,Not interested,Not interested,Very interested
2017/10/19 11:32:46 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 11:37:36 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 11:39:08 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 11:44:13 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 11:45:03 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 11:56:23 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/20 12:06:43 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/20 12:07:00 AM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/20 12:07:20 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/20 12:18:26 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/20 12:21:06 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/20 12:21:21 AM MDT,Somewhat interested,Very interested,Not interested,Somewhat interested,Not interested,Very interested
2017/10/20 12:21:59 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/20 12:23:55 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/20 12:24:57 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/20 12:30:32 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/20 12:33:49 AM MDT,Not interested,Somewhat interested,Somewhat interested,Not interested,Not interested,Somewhat interested
2017/10/20 12:43:30 AM MDT,Very interested,Very interested,Very interested,Very interested,,Very interested
2017/10/20 12:50:31 AM MDT,Very interested,Not interested,Not interested,Not interested,Not interested,Not interested
2017/10/20 12:55:23 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/20 12:56:19 AM MDT,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested
2017/10/20 12:56:38 AM MDT,Not interested,Somewhat interested,Not interested,Not interested,Not interested,Somewhat interested
2017/10/20 12:59:16 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/20 1:02:57 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/20 1:03:27 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/20 1:06:42 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/20 1:08:53 AM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/20 1:11:10 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/20 1:18:58 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/20 1:23:32 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/20 1:28:56 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/20 1:32:07 AM MDT,Very interested,,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/20 1:35:57 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Very interested
2017/10/20 1:54:52 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/20 1:57:12 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/20 2:01:25 AM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/20 2:04:05 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,,Very interested
2017/10/20 2:05:16 AM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/20 2:06:09 AM MDT,,Very interested,Very interested,Very interested,,
2017/10/20 2:14:08 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/20 2:24:19 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/20 2:25:32 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/20 2:26:09 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/20 2:26:28 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested
2017/10/20 2:27:24 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/20 2:27:44 AM MDT,Very interested,Not interested,Very interested,Not interested,Not interested,Not interested
2017/10/20 2:34:31 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/20 2:34:40 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/20 2:40:16 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/20 2:41:24 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/20 3:05:12 AM MDT,Somewhat interested,Very interested,Somewhat interested,Not interested,Not interested,Very interested
2017/10/20 3:05:47 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/20 3:09:36 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/20 3:15:02 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/20 3:17:20 AM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/20 3:19:06 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/20 3:46:12 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/20 3:58:16 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/20 4:04:34 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/20 4:12:09 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/20 4:15:09 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/20 4:27:22 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/20 4:35:15 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/20 4:40:00 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/20 4:45:44 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/20 4:48:16 AM MDT,Very interested,,Very interested,Very interested,,Very interested
2017/10/20 4:49:38 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/20 5:03:32 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/20 5:13:45 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/20 5:15:43 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/20 5:19:19 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/20 5:20:14 AM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/20 5:20:56 AM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested
2017/10/20 5:25:27 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/20 5:27:38 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/20 5:29:05 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/20 5:50:06 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/20 5:53:34 AM MDT,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested,
2017/10/20 6:03:29 AM MDT,,Somewhat interested,Very interested,,,Very interested
2017/10/20 6:04:12 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/20 6:11:52 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
